Twitter_Screen_Name,twitter_url,facebook_url,web_url,hebrew_name,role,Type
moshebst,https://twitter.com/moshebst,https://www.facebook.com/moshe.tov.3,,משה בר סימן טוב," מנכ""ל משרד הבריאות",Person
grotto64,https://twitter.com/grotto64,,,איתמר גרוטו,"סמנכ""ל משרד הבריאות ",Person
,,https://www.facebook.com/SHEBA.MEDICAL/,,בית החולים שיבא תל השומר,,Hospital
,,https://www.facebook.com/Shamir.medical/,https://www.shamir.org/he/,בית החולים אסף הרופא,,Hospital
rambam_hospital,https://twitter.com/rambam_hospital,https://www.facebook.com/RambamHCC/,,"בית החולים רמב""ם",,Hospital
,,,http://www.psjer.org.il/?CategoryID=255,בית החולים איתנים,,Hospital
IMA_HARI,https://twitter.com/IMA_HARI,https://www.facebook.com/Ima.org/,,ההסתדרות הרפואית,,Organization
ClalitHealth,https://twitter.com/ClalitHealth,https://www.facebook.com/Clalit/,,קופת חולים כללית ,,Organization
IsraelMOH,https://twitter.com/IsraelMOH,https://www.facebook.com/Health.gov.il,,משרד הבריאות,,Organization
RonnyLinder,https://twitter.com/RonnyLinder,,,רוני לידר,כתבת הבריאות של דה מרק,Person
ranreznik,https://twitter.com/ranreznik,,,רן רזניק,כתב בריאות ישראל היום ,Person
diklaaharon,https://twitter.com/diklaaharon,,,דיקלה אהרון ,כתבת הבריאות של תאגיד השידור הישראלי ,Person
,https://twitter.com/Israel_MOF,https://www.facebook.com/Israeli.Ministry.of.Finance/,,משרד האוצר ,,Organization
kettydor,https://twitter.com/kettydor,,,קטי דור שינברג,,Person
IsraelRambam,https://twitter.com/IsraelRambam,https://www.facebook.com/dover.rambam,,דוד רטנר,"דובר בית החולים רמב""ם",Person
zeev_feldman,https://twitter.com/zeev_feldman,https://www.facebook.com/Dr.zeevfeldman/,,זאב פלדמן ,"יו""ר ארגון רופאי המדינה",Person
Meir_Marciano,https://twitter.com/Meir_Marciano,,,מאיר מרציאנו ,"כתב בראות גל""צ",Person
shushan_avi,https://twitter.com/shushan_avi,,,אבי שושן,"דובר ביה""ח איכילוב",Person
tasmc1,https://twitter.com/tasmc1,https://www.facebook.com/ichilovmedical/,https://www.tasmc.org.il/Pages/default.aspx,בית החולים איכילוב,בית החולים איכילוב,Hospital
MaytalYasur,https://twitter.com/MaytalYasur,https://www.facebook.com/yasurm,,מיטל יסעור ,כתבת בריאות של ישראל היום,Person
BoazEfrat,https://twitter.com/BoazEfrat,,,בועז אפרת,כתב הבריאות של וואלה NEWS,Person
BassonEyal,https://twitter.com/BassonEyal,,,אייל בסון,דובר משרד הבריאות ,Person
hillaalroy,https://twitter.com/hillaalroy,https://www.facebook.com/%D7%94%D7%99%D7%9C%D7%94-%D7%90%D7%9C%D7%A8%D7%95%D7%90%D7%99-179750865399626/,,הילה אלרואי,פרשנית בריאות בערוץ 13,Person
HagayProf,https://twitter.com/HagayProf,,,פרופ ציון חגי,"יו""ר ההסתדרות הרפואית ",Person
,https://twitter.com/mda_israel,https://www.facebook.com/mdaisrael/,,"מד""א",,Organization
DoverMDA,https://twitter.com/DoverMDA,,,זכי הלר,"דובר מד""א ",Person
itaygalMD,https://twitter.com/itaygalMD,https://www.facebook.com/RofeYeladim-%D7%93%D7%A8-%D7%90%D7%99%D7%AA%D7%99-%D7%92%D7%9C-155427354477228/,,איתי גל ,כתב הבריאות של  ynet,Person
idfonline,https://twitter.com/idfonline,https://www.facebook.com/tzahalonline/,,צבא הגנה לישראל,,Organization
efsharibari,https://twitter.com/efsharibari,https://www.facebook.com/EfshariBARI.gov/,,אפשרי בריא,התוכנית הלאומית לחיים פעילים ובריאים,Organization
,https://twitter.com/MaccabiMishpahT,https://www.facebook.com/MaccabiHealth/,,מכבי שירותי בריאות,,Organization
Israelgov,https://twitter.com/Israelgov,https://www.facebook.com/israelgov/,,אתר שירותים ממשלתיים,,Organization
Hadarelboim,https://twitter.com/Hadarelboim,https://www.facebook.com/Hadassah.Medical/?ref=search&__tn__=%2Cd%2CP-R&eid=ARCcjoY798HAbSRWUm4LDYUv6pW30h3X6Z_gA-eORcpzhy-r5t_kqciGPVINWVD1KOFGEA2eNWHr136y,http://www.hadassah.org.il/,המרכז הרפואי האוניברסיטאי הדסה,,Hospital
,,https://www.facebook.com/gmc.org.il/?__tn__=%2Cd%2CP-R&eid=ARCrXTtb9r_RtMyqjTvay0xFzMZy-mILTpNnkxU6tUVRaRx8epzgtQPfU1YqGzl_gdvGkyPvHOHy8r-f,,המרכז הרפואי גליל ,,Hospital
,,https://www.facebook.com/leumit/,,קופת חולים לאומית,,Organization
,,https://www.facebook.com/groups/346851016078788/,,קופת החולים מאוחדת ,,Organization
,,,https://hospitals.clalit.co.il/soroka/he/Pages/default.aspx,בית החולים סורוקה,,Hospital
,https://twitter.com/shaarezedekmed,https://www.facebook.com/ShaareZedekJmHebrew/?__tn__=%2Cd%2CP-R&eid=ARAFjfxcXRyAM4BNLWLlbyS7RQK85ZNeLtbTvA5JToAZvmjtV7s-kFWVwhRV88tlP33vp8RKxmChrRCh,https://www.szmc.org.il/heb/home/,המרכז הרפואי שערי צדק,,Hospital
Wolfson_Med,https://twitter.com/Wolfson_Med,,https://www.wolfson.org.il/,בית החולים וולפסון ,,Hospital
,,https://www.facebook.com/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%91%D7%A8%D7%96%D7%99%D7%9C%D7%99-Barzilai-Medical-Center-1402607383285210/,http://www.bmc.gov.il/,בית החולים ברזילי,,Hospital
,,https://www.facebook.com/groups/557845580931404/,https://www.meuhedet.co.il/%D7%9E%D7%A9%D7%92%D7%91-%D7%9C%D7%93%D7%9A/,בית חולים משגב לדך ,,Hospital
,,https://www.facebook.com/pages/%D7%9E%D7%A8%D7%9B%D7%96-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9E%D7%90%D7%99%D7%A8-%D7%9E%D7%99%D7%95%D7%9F/514600692278134,https://hospitals.clalit.co.il/meir/he/Pages/default.aspx,חדר מיון מרכז רפואי מאיר,,Hospital
,,https://www.facebook.com/groups/491885495092116/,,קבוצת וירוס קורונה – עדכונים מהשטח ,,Group
,,https://www.facebook.com/groups/184901829584059/,,קבוצת וירוס – עדכונים שוטפים ,,Group
,,https://www.facebook.com/hmcisraeli/?__tn__=%2Cd%2CP-R&eid=ARDs-YQAU6tZnPx3Lf5-haHFUlln2Vqd2rsenGrGABADOv_BPSA6lGrTS5qT06jXo9N1wXctrlyhQR-A,https://hmc.co.il/,הרצליה מדיקל סנטר,,Hospital
,,https://www.facebook.com/mymchospital/,,מרכז רפואי מעייני הישועה,,Hospital
,,https://www.facebook.com/hillelyaffe/,https://hy.health.gov.il/,בית חולים הלל יפה,,Hospital
,,https://www.facebook.com/%D7%91%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D-%D7%90%D7%9C%D7%99%D7%A9%D7%A2-%D7%91%D7%99%D7%AA-%D7%94%D7%97%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%A4%D7%A8%D7%98%D7%99-%D7%A9%D7%9C-%D7%94%D7%A6%D7%A4%D7%95%D7%9F-214792982266671/,,בית חולים אלישע ,,Hospital
