inst#,actual,predicted,error,prediction
00027a6c774e35ab94cfcbf9ce78c2c4,1:?,1:bad_actor,,0.762
0003c93913623a1c8bb9aaa106e04498,1:?,2:good_actor,,0.691
0007510bbd4132ffb073963de68b9c76,1:?,1:bad_actor,,0.8
000b400701293e91a5e533d18add2799,1:?,2:good_actor,,0.699
000c70035a193594a0ca692dbe025705,1:?,1:bad_actor,,0.762
0012fff1d73c34b2a64e782aea3bef81,1:?,2:good_actor,,0.691
0013bbf380743c81acd7e4d8cc2fc47e,1:?,1:bad_actor,,0.997
00155b2b1613310da771b626ff1d02bd,1:?,2:good_actor,,0.699
0015f66214ad3e6eb1b8cbd70e3e4f57,1:?,1:bad_actor,,0.997
0017cbfae8f83e0c926201bd710b3a51,1:?,1:bad_actor,,0.762
002778b31a1d361bb5522f8e7cef8380,1:?,1:bad_actor,,0.762
002b1bdf2ad8392b9a7427bb19139fe8,1:?,2:good_actor,,0.691
0034cb9dcc2e347183e49c2f6d50e324,1:?,1:bad_actor,,0.8
0038248bd2f2351b8ec4ae017751c643,1:?,2:good_actor,,0.699
00388c96e4f93189bf03a81a870ff4df,1:?,1:bad_actor,,0.762
00390262319e3bd0b28d881d484e5637,1:?,1:bad_actor,,0.762
0039d2018a46301bb9610e4d5cab6e02,1:?,1:bad_actor,,0.762
003a43d512d33773aba753ec4dcdc7f4,1:?,1:bad_actor,,0.762
003e905fbfd13bf9862ecc5dcce20270,1:?,2:good_actor,,0.691
004641320bc735739bcb12b2d0d4ec8b,1:?,2:good_actor,,0.699
0047fcd191b73715b32913af7543057e,1:?,2:good_actor,,0.691
00489a90e84e30e4a954b60ab6e882b7,1:?,1:bad_actor,,0.762
0051734a70c431f984b833d1b136ead8,1:?,2:good_actor,,0.691
005206aefb6d3513b423e13361625205,1:?,1:bad_actor,,0.762
0058814095463f2da0ff21ce28bba1a2,1:?,1:bad_actor,,0.762
005bc8cd44c834949aa1ed8b54ec6fed,1:?,2:good_actor,,0.699
007d192e54983af0870151d6be5c46df,1:?,2:good_actor,,0.691
007fdbd44e5b32c4b78164c8012a4c18,1:?,1:bad_actor,,0.762
00806873445c32cf842865f9cbba5fd1,1:?,1:bad_actor,,0.762
00862e23a67e3cb69e27bba9ef7349f8,1:?,1:bad_actor,,0.762
0088da3582043f86a0f61549bb6349cf,1:?,2:good_actor,,0.699
008b2ac48dd0306bb123fcf686b5363c,1:?,2:good_actor,,0.699
00b20cc37a4a3887a8fa79c27b66fc13,1:?,2:good_actor,,0.691
00b29a7da1d03670b039e0e3980a7f5c,1:?,2:good_actor,,0.691
00c0b8d24e063cd68ce51e4e60a2d339,1:?,1:bad_actor,,0.997
00c1c1d46cf23101bbc2870986ebee23,1:?,2:good_actor,,0.691
00c2ee90881330559400a4ad9f3da247,1:?,2:good_actor,,0.691
00c37f69579738a58d24eefa8496c1ea,1:?,2:good_actor,,0.691
00c72cacb3ca34cf80ec62fb0a442ba7,1:?,2:good_actor,,0.691
00c8d697f2713ac79d7471fedfcc63b6,1:?,1:bad_actor,,0.762
00c98da4554737168c48ac34f94a154f,1:?,2:good_actor,,0.699
00da500baac839178670741bf54d61b9,1:?,2:good_actor,,0.699
00daae6f7f09349ab4cf6e7eeb19a6d0,1:?,1:bad_actor,,0.762
00ddd751af79375abff0562202b14a2f,1:?,2:good_actor,,0.691
00e0d86c3d24368f8e6bb900b8ec7a09,1:?,2:good_actor,,0.699
00e4cc32a8713359b2dd9e0dbc1e508b,1:?,1:bad_actor,,0.762
00e6aa7c7930389f8c1256deb6c5c9c7,1:?,1:bad_actor,,0.762
00e7fc76bc9d348781f8012f3178b8d1,1:?,2:good_actor,,0.691
00ecb492494d3fb3b9a9be559bcdd433,1:?,2:good_actor,,0.699
00f356df2ebe38c0adb7159a70af1ece,1:?,2:good_actor,,0.699
00fc6f3375113327bf78e196c6ae5473,1:?,2:good_actor,,0.691
00ffd94b9deb34699e641d5ce55b4ab0,1:?,2:good_actor,,0.691
01017e9fa1e935948a1f5e6cc595bf00,1:?,2:good_actor,,0.691
0102fd2e36343b6b995d9d6c65d8acb9,1:?,1:bad_actor,,0.762
0104806f3e823d0699fca8e90763ba8a,1:?,2:good_actor,,0.699
0105bd3bb174369eaba5b47debe22ead,1:?,2:good_actor,,0.691
0105efd3fa013f4c964d80d2ee675ff4,1:?,2:good_actor,,0.691
01064444b5fc34bd906e531425c2a4be,1:?,1:bad_actor,,0.762
0107578aeef9397cae788affc9ed9600,1:?,2:good_actor,,0.691
01096724e67d38c08a31ccc0d5ab9919,1:?,2:good_actor,,0.699
010a7f9babd3308b881e7c394cef86d3,1:?,2:good_actor,,0.699
010b912382b933299038a6029e057518,1:?,2:good_actor,,0.691
010bfb88e70532e1a1c7806f6e2a931a,1:?,2:good_actor,,0.691
010ffb57ed363e7fbcb517c9d82a49ca,1:?,1:bad_actor,,0.762
01138ceb65ab398b95f6b56023fe8c00,1:?,2:good_actor,,0.691
011692e2dfed339b9559cac449c0eb4f,1:?,2:good_actor,,0.691
0119ccf3978d391a919548558fbb9c3c,1:?,1:bad_actor,,0.762
011d2b655caf35b483e3fe46c5097a24,1:?,1:bad_actor,,0.762
01228369816139488302634fa93fbec2,1:?,1:bad_actor,,0.762
01241001887d3bda8c4a2a7377b13811,1:?,1:bad_actor,,0.762
01263f9c2b9d32168e4a36cc804f575c,1:?,2:good_actor,,0.699
012b4cb74dba3911b8c5756859167a3c,1:?,1:bad_actor,,0.762
012b5181c3bb3e4ea998f62626199c03,1:?,2:good_actor,,0.699
012dd4229779350cab131365cdea8812,1:?,2:good_actor,,0.691
012f9dcfb30d39ff856d77dceac45b8d,1:?,2:good_actor,,0.691
0131e757cbfd362595588614e3f4a8c3,1:?,2:good_actor,,0.691
0134e83519a53a7a8e5cb4d8ca15f824,1:?,1:bad_actor,,0.762
0137adb760c534d485b6c536d3165f27,1:?,2:good_actor,,0.699
01393f0e7ad3318dbbed3a2592de20ab,1:?,1:bad_actor,,0.762
01396031d5633b1fb171660cafdd6101,1:?,1:bad_actor,,0.762
013b760725a03098896dc403ae366c0d,1:?,1:bad_actor,,0.762
013bb5fe7c5e30539930ac4e18a3222c,1:?,1:bad_actor,,0.997
0148d51d5ff53300997bcb4074e25b7d,1:?,2:good_actor,,0.691
0149586b65f9301cab8cabbf49c9728e,1:?,1:bad_actor,,0.762
014a298d48f93805bf63dbaec2c80f0b,1:?,2:good_actor,,0.699
0151202abc313f209861774839dabce4,1:?,2:good_actor,,0.691
0151dcfbbe083e869bdb84d2dad9c91a,1:?,2:good_actor,,0.691
0153d1f12a393fc8a8b67786b72a84fb,1:?,1:bad_actor,,0.762
0157074c906b3bab91b0c3a90db18a40,1:?,1:bad_actor,,0.762
015a9e54cc2a37b69e8dbf37db264d29,1:?,1:bad_actor,,0.762
015c59b763dc373eba2372a69b7a18a7,1:?,2:good_actor,,0.691
015c859804fc3d1d8937aa13c844064e,1:?,2:good_actor,,0.691
015d5980df0337e7944e4c57d1bc9b43,1:?,2:good_actor,,0.691
015dfe2fd0eb3522af265652cc6dc476,1:?,1:bad_actor,,0.999
016209ba5a3134bc82d6b9448a85add8,1:?,2:good_actor,,0.699
016b8f0ea6f93c3ebb4956a17b4d7e5c,1:?,2:good_actor,,0.691
016c80757fa43343b4820790a925ce3a,1:?,2:good_actor,,0.699
016dd97e8fd1332a88b6805543728c9a,1:?,2:good_actor,,0.691
017d568787f9347298cfa38154c45787,1:?,2:good_actor,,0.691
017f65d9d01436f19ef568b0decd2668,1:?,2:good_actor,,0.691
0186af39e1803757a7856f0c92e80e10,1:?,2:good_actor,,0.691
018ca8ec11043e8fb83456c4efec45db,1:?,2:good_actor,,0.691
0196f3b9f42433a9b200fc64f7b3b32c,1:?,2:good_actor,,0.691
0197cd1358883ad3836c436d7ae4aaa5,1:?,1:bad_actor,,0.999
019db44868543f0b912ad95a72234e99,1:?,1:bad_actor,,0.762
01a3b0c545413b95815a3a0538e00960,1:?,2:good_actor,,0.691
01a442f22e8a3205bc66ada3faefd208,1:?,1:bad_actor,,0.999
01a93c5c0f703e369eccaab7ebf06ddd,1:?,2:good_actor,,0.691
01b6c26e65803eb893776ac359237767,1:?,1:bad_actor,,0.762
01b7bd38b94437c394812160d0e4fd6c,1:?,2:good_actor,,0.699
01ba8127e62d3d1b938d4bbcb43f5b4f,1:?,2:good_actor,,0.691
01be11c8d74e35b4a991ad560a65147c,1:?,1:bad_actor,,0.999
01c860a4221239caab146caed5963323,1:?,1:bad_actor,,0.999
01cc54a5847830c48caf35b5b90045ad,1:?,1:bad_actor,,0.762
01cdfe77cb763d518c14652588c1f7d6,1:?,2:good_actor,,0.691
