inst#,actual,predicted,error,prediction
1,1:?,2:good_actor,,0.928
2,1:?,2:good_actor,,0.928
3,1:?,2:good_actor,,0.928
4,1:?,2:good_actor,,0.928
5,1:?,2:good_actor,,1
6,1:?,2:good_actor,,0.928
7,1:?,2:good_actor,,0.928
8,1:?,2:good_actor,,0.928
9,1:?,2:good_actor,,0.928
10,1:?,2:good_actor,,0.928
11,1:?,2:good_actor,,0.928
12,1:?,2:good_actor,,0.928
13,1:?,2:good_actor,,0.928
14,1:?,2:good_actor,,1
15,1:?,2:good_actor,,0.928
16,1:?,2:good_actor,,0.928
17,1:?,2:good_actor,,0.928
18,1:?,2:good_actor,,0.928
19,1:?,2:good_actor,,0.928
20,1:?,2:good_actor,,0.928
21,1:?,2:good_actor,,0.928
22,1:?,2:good_actor,,0.928
23,1:?,2:good_actor,,0.928
24,1:?,2:good_actor,,0.928
25,1:?,2:good_actor,,0.928
26,1:?,2:good_actor,,0.928
27,1:?,2:good_actor,,0.928
28,1:?,2:good_actor,,0.928
29,1:?,2:good_actor,,0.928
30,1:?,2:good_actor,,0.928
31,1:?,2:good_actor,,0.928
32,1:?,2:good_actor,,0.928
33,1:?,2:good_actor,,0.928
34,1:?,2:good_actor,,0.928
35,1:?,1:bad_actor,,1
36,1:?,2:good_actor,,0.928
37,1:?,2:good_actor,,0.928
38,1:?,2:good_actor,,0.928
39,1:?,2:good_actor,,0.928
40,1:?,2:good_actor,,0.9
41,1:?,2:good_actor,,0.928
42,1:?,2:good_actor,,0.928
43,1:?,2:good_actor,,0.928
44,1:?,2:good_actor,,0.928
45,1:?,2:good_actor,,0.928
46,1:?,2:good_actor,,0.928
47,1:?,1:bad_actor,,1
48,1:?,2:good_actor,,0.928
49,1:?,2:good_actor,,0.928
50,1:?,2:good_actor,,0.928
51,1:?,2:good_actor,,0.928
52,1:?,2:good_actor,,0.928
53,1:?,2:good_actor,,0.928
54,1:?,2:good_actor,,0.928
55,1:?,2:good_actor,,0.928
56,1:?,2:good_actor,,0.928
57,1:?,2:good_actor,,0.928
58,1:?,2:good_actor,,1
59,1:?,2:good_actor,,0.928
60,1:?,2:good_actor,,0.928
61,1:?,2:good_actor,,0.928
62,1:?,2:good_actor,,0.928
63,1:?,2:good_actor,,0.928
64,1:?,2:good_actor,,0.928
65,1:?,2:good_actor,,0.928
66,1:?,2:good_actor,,0.928
67,1:?,2:good_actor,,1
68,1:?,1:bad_actor,,1
69,1:?,2:good_actor,,0.928
70,1:?,2:good_actor,,0.928
71,1:?,2:good_actor,,0.928
72,1:?,2:good_actor,,0.928
73,1:?,2:good_actor,,0.928
74,1:?,2:good_actor,,0.928
75,1:?,2:good_actor,,0.928
76,1:?,2:good_actor,,1
77,1:?,2:good_actor,,0.928
78,1:?,2:good_actor,,0.928
79,1:?,2:good_actor,,0.928
80,1:?,2:good_actor,,0.928
81,1:?,2:good_actor,,1
82,1:?,2:good_actor,,0.928
83,1:?,2:good_actor,,0.928
84,1:?,2:good_actor,,0.928
85,1:?,2:good_actor,,0.928
86,1:?,2:good_actor,,0.928
87,1:?,2:good_actor,,0.928
88,1:?,2:good_actor,,0.928
89,1:?,2:good_actor,,0.8
90,1:?,2:good_actor,,0.928
91,1:?,2:good_actor,,0.928
92,1:?,2:good_actor,,0.928
93,1:?,2:good_actor,,0.928
94,1:?,2:good_actor,,0.9
95,1:?,2:good_actor,,0.928
96,1:?,2:good_actor,,0.928
97,1:?,2:good_actor,,0.928
98,1:?,2:good_actor,,0.928
99,1:?,2:good_actor,,0.928
100,1:?,2:good_actor,,0.928
101,1:?,2:good_actor,,0.928
102,1:?,2:good_actor,,0.928
103,1:?,2:good_actor,,0.928
104,1:?,1:bad_actor,,1
105,1:?,2:good_actor,,0.928
106,1:?,2:good_actor,,0.928
107,1:?,1:bad_actor,,1
108,1:?,2:good_actor,,0.928
109,1:?,1:bad_actor,,1
110,1:?,2:good_actor,,0.928
111,1:?,2:good_actor,,0.928
112,1:?,2:good_actor,,0.8
113,1:?,2:good_actor,,0.8
114,1:?,2:good_actor,,0.928
115,1:?,2:good_actor,,0.928
116,1:?,2:good_actor,,0.928
117,1:?,2:good_actor,,0.9
118,1:?,2:good_actor,,0.928
119,1:?,2:good_actor,,0.928
120,1:?,2:good_actor,,0.8
121,1:?,2:good_actor,,0.9
122,1:?,2:good_actor,,0.928
123,1:?,2:good_actor,,0.928
124,1:?,2:good_actor,,0.928
125,1:?,2:good_actor,,0.9
126,1:?,2:good_actor,,0.928
127,1:?,2:good_actor,,0.928
128,1:?,2:good_actor,,0.928
129,1:?,2:good_actor,,0.928
130,1:?,2:good_actor,,0.928
131,1:?,2:good_actor,,0.928
132,1:?,2:good_actor,,0.928
133,1:?,2:good_actor,,0.9
134,1:?,2:good_actor,,0.9
135,1:?,2:good_actor,,0.9
136,1:?,2:good_actor,,0.928
137,1:?,2:good_actor,,0.928
138,1:?,1:bad_actor,,1
139,1:?,2:good_actor,,0.928
140,1:?,2:good_actor,,0.928
141,1:?,2:good_actor,,0.928
142,1:?,2:good_actor,,0.928
143,1:?,2:good_actor,,0.928
144,1:?,2:good_actor,,0.928
145,1:?,2:good_actor,,0.928
146,1:?,2:good_actor,,0.928
