@relation 'bad_actors-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,2-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1_predicted'

@attribute boost_score_avg numeric
@attribute boost_score_std_dev numeric
@attribute boost_score_sum numeric
@attribute boosting_timeslots_count numeric
@attribute cocitation_net_betweenness_centrality numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute cocitation_net_closeness_centrality numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute cocitation_net_degree_centrality numeric
@attribute cocitation_net_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute cocitation_net_in_degree_centrality numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute cocitation_net_out_degree_centrality numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute count_authors_sharing_boosted_posts numeric
@attribute max_tfidf numeric
@attribute sum_tfidf numeric
@attribute topic_net_betweenness_centrality numeric
@attribute topic_net_betweenness_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute topic_net_closeness_centrality numeric
@attribute topic_net_closeness_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_closeness_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_closeness_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_closeness_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_closeness_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_closeness_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_closeness_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_closeness_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute topic_net_degree_centrality numeric
@attribute topic_net_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute topic_net_in_degree_centrality numeric
@attribute topic_net_in_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute topic_net_out_degree_centrality numeric
@attribute topic_net_out_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute 'prediction margin' numeric
@attribute 'predicted author_type' {bad_actor,good_actor}
@attribute author_type {bad_actor,good_actor}

@data
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.001159,-0.085931,28.475196,0.013383,0.002457,1.352343,5.40491,0.022396,0.009066,0.514667,-0.263508,17.397235,0.597019,0.532713,1.133778,3.520705,0.141958,0.059558,0.19171,-0.430384,15.499864,0.576902,0.29659,1.150554,3.580163,0.602078,0.260121,0.095855,-0.430384,15.499864,0.288451,0.148295,1.150554,3.580163,0.301039,0.13006,0.095855,-0.430384,15.499864,0.288451,0.148295,1.150554,3.580163,0.301039,0.13006,0.59703,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.00001,0.133272,11.236081,0.001075,0.004554,0.999535,3.555353,0.000891,0.012873,0.395492,6.188448,8.510232,0.513603,0.552187,-2.290179,2.757821,0.047253,0.078038,0.041451,-0.66018,7.340275,0.219919,0.384841,0.44178,2.695619,0.123407,0.340294,0.020725,-0.66018,7.340275,0.10996,0.19242,0.44178,2.695619,0.061704,0.170147,0.020725,-0.66018,7.340275,0.10996,0.19242,0.44178,2.695619,0.061704,0.170147,0.59703,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.002476,1.298804,29.174194,0.010383,0.002408,1.767559,5.466827,0.020081,0.008976,0.538354,1.203843,17.275023,0.581094,0.531535,1.61408,3.472568,0.118111,0.05957,0.321244,0.90955,15.863184,0.535324,0.294546,1.557905,3.618508,0.498504,0.257864,0.160622,0.90955,15.863184,0.267662,0.147273,1.557905,3.618508,0.249252,0.128932,0.160622,0.90955,15.863184,0.267662,0.147273,1.557905,3.618508,0.249252,0.128932,0.59703,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.376238,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.00007,-1.98655,28.82477,0.02432,0.002432,0.321587,5.435964,0.02633,0.009021,0.508564,-1.792202,18.60023,0.663631,0.532874,0.316575,3.791491,0.150147,0.058351,0.124352,-1.850227,15.838648,0.867772,0.296949,0.196773,3.624595,0.650261,0.258152,0.062176,-1.850227,15.838648,0.433886,0.148475,0.196773,3.624595,0.32513,0.129076,0.062176,-1.850227,15.838648,0.433886,0.148475,0.196773,3.624595,0.32513,0.129076,0.59703,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.001569,-0.664126,27.951518,0.014881,0.002496,1.143021,5.358075,0.023567,0.009135,0.509908,-0.595963,18.923176,0.601643,0.534485,0.992312,3.882872,0.146073,0.058207,0.186528,-0.765135,15.428174,0.596275,0.300122,1.035732,3.583352,0.620677,0.260725,0.093264,-0.765135,15.428174,0.298138,0.150061,1.035732,3.583352,0.310338,0.130363,0.093264,-0.765135,15.428174,0.298138,0.150061,1.035732,3.583352,0.310338,0.130363,0.59703,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000738,0.884045,29.261285,0.011336,0.002401,1.64339,5.474482,0.020517,0.008965,0.536111,0.981819,16.911936,0.592476,0.531167,1.604139,3.387311,0.116311,0.059923,0.300518,0.491649,15.853759,0.551155,0.293868,1.435987,3.614198,0.514147,0.257865,0.150259,0.491649,15.853759,0.275577,0.146934,1.435987,3.614198,0.257073,0.128932,0.150259,0.491649,15.853759,0.275577,0.146934,1.435987,3.614198,0.257073,0.128932,0.59703,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000019,-1.799679,27.250048,0.02108,0.002547,0.589734,5.294567,0.026448,0.00923,0.494872,-1.792273,19.51293,0.645819,0.535649,0.539678,4.068587,0.162871,0.057818,0.108808,-1.796187,15.211635,0.771079,0.303254,0.495753,3.570996,0.699495,0.262317,0.054404,-1.796187,15.211635,0.385539,0.151627,0.495753,3.570996,0.349747,0.131159,0.054404,-1.796187,15.211635,0.385539,0.151627,0.495753,3.570996,0.349747,0.131159,0.59703,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000098,-1.447696,28.037859,0.018269,0.002488,0.819699,5.365786,0.025834,0.009124,0.502604,-1.455183,17.678563,0.627435,0.533368,0.783834,3.620234,0.159532,0.059359,0.124352,-1.462738,15.323403,0.683316,0.298386,0.766438,3.564742,0.688364,0.261276,0.062176,-1.462738,15.323403,0.341658,0.149193,0.766438,3.564742,0.344182,0.130638,0.062176,-1.462738,15.323403,0.341658,0.149193,0.766438,3.564742,0.344182,0.130638,0.59703,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.001344,0.48857,29.174166,0.012138,0.002408,1.534458,5.466823,0.021184,0.008976,0.53168,0.517628,17.29487,0.596406,0.531544,1.352273,3.478534,0.122277,0.059548,0.274611,0.158867,15.842497,0.582422,0.294451,1.326975,3.614588,0.524734,0.257958,0.137306,0.158867,15.842497,0.291211,0.147225,1.326975,3.614588,0.262367,0.128979,0.137306,0.158867,15.842497,0.291211,0.147225,1.326975,3.614588,0.262367,0.128979,0.59703,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000375,0.630886,29.348604,0.012196,0.002395,1.567351,5.482157,0.020747,0.008954,0.534626,0.700828,16.988532,0.601459,0.531042,1.499794,3.409745,0.116054,0.059826,0.284974,0.236016,15.906825,0.606403,0.293519,1.320455,3.621213,0.505202,0.257576,0.142487,0.236016,15.906825,0.303201,0.14676,1.320455,3.621213,0.252601,0.128788,0.142487,0.236016,15.906825,0.303201,0.14676,1.320455,3.621213,0.252601,0.128788,0.59703,good_actor,good_actor
