No,Instance_number,author_guid,account_age,author_type,average_post_lenth,average_posts_per_day_total,average_user_mentions,boosting_timeslots_count,friends_followers_ratio,number_followers,number_friends,number_of_posts,number_pointers,Cluster
1,1673,4ea1a9602b353933a2ffcd3777f4a183,83,?,6,44,0,0,2.48062,387,960,3720,1,cluster2
2,5096,f014f8a81676384286383ea81770fd3d,1649,?,14,0,0,?,2.459016,61,150,164,?,cluster2
3,2065,608a4308720e3d5f84ef73ec4dde6766,239,?,16,58,0,0,2.371773,581,1378,14077,1,cluster2
4,4558,d617ad56a63e3ca281122456cbe548e2,1651,?,16,3,0,?,2.323572,683,1587,5230,?,cluster2
5,494,16ca2f10cd5f3f1da0952a3147dc86ec,145,?,14,9,0,0,2.214976,414,917,1331,1,cluster2
6,4260,c8bffec4972f3de7877fd2afeab5a649,109,?,4,33,0,0,2.134,1000,2134,3664,1,cluster2
7,2485,72d1b1843fa635b9893f1cc6697eb868,106,?,14,106,0,?,2.105263,19,40,11337,?,cluster2
8,831,266c3da891df3c078d0a61fb2f4e6db2,92,?,15.5,124,0,?,2.105263,19,40,11475,?,cluster2
9,4846,e3df822e41503d52bf7611f98022c2bb,109,?,5,34,0,0,2.092387,1353,2831,3716,1,cluster2
10,1052,300b6b2bc0213e48a53b94be2c88eae6,118,?,1,20,0,0,2.043973,1319,2696,2447,1,cluster2
11,3006,8a8a0724dd253a9391a1f8bd5ecf80fe,196,?,5,4,0,?,2,11,22,826,?,cluster2
12,2297,6abdd51ea8a731ffa18efcd3f50c1f4f,108,?,17.666667,79,0,?,2,20,40,8533,?,cluster2
13,2743,7deafe7ff3f23693bdb009399e2805ad,208,?,18,152,0,0,1.941176,680,1320,31736,1,cluster2
14,2621,782a577a03933f3fa3ee4a39f9036976,108,?,15,86,0,?,1.904762,21,40,9347,?,cluster2
15,3777,b18afb2aa09e3ce6bf37de78499b659d,89,?,16.8,122,0,?,1.904762,21,40,10872,?,cluster2
16,562,19b0ba65dfef3a36bdaeb1c8933dd5b8,526,?,20,3,0,0,1.833333,72,132,2102,1,cluster2
17,143,06edd3fee65b38148cf63b7e7dab88b3,102,?,27,18,0,?,1.804721,466,841,1889,?,cluster2
18,4696,dccdd90c10bb3eb5971e74d40731bc02,1866,?,20,0,0,?,1.785882,425,759,1623,?,cluster2
19,3471,a2c4e025e86330f386f5cfb74d46be35,2282,?,12,5,0,?,1.771898,548,971,11886,?,cluster2
20,1461,440b4fb5b7dd36a194c82de590c7352f,1675,?,11,3,0,?,1.751256,398,697,5371,?,cluster2
21,5233,f68e250edc6531788d8915d2202230fe,108,?,18,93,0,?,1.73913,23,40,10099,?,cluster2
22,1843,571e306e6e3831c0aa7cde5eb59c71c3,2652,?,11,1,0,0,1.709261,1393,2381,2831,1,cluster2
23,4855,e4586f32a7863f5791b70fb34322bf81,1681,?,17,1,0,?,1.660952,525,872,3201,?,cluster2
24,171,08964b54b7df3b4798ee2629d987f76b,99,?,6,129,0,0,1.656033,1442,2388,12781,1,cluster2
25,3758,b0f7b162a799377aa3755e7b1fe9c6fb,969,?,18,6,0,0,1.654321,567,938,6000,1,cluster2
26,5301,f9e8102ca0f63b00a018608d0a13f0af,119,?,9,316,0,?,1.64532,406,668,37681,?,cluster2
27,281,0dddb15f34a43fc7873195da06270508,2429,?,20,3,0,0,1.600334,1196,1914,7669,1,cluster2
28,2460,7199b0930a3b3ed996d0b6303c3bfdd5,70,?,14,86,0,?,1.55,20,31,6049,?,cluster2
