Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,boost_score_avg,boost_score_std_dev,boost_score_sum,boosting_timeslots_count,count_authors_sharing_boosted_posts,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,number_pointed_posts,number_pointers,Cluster
0,00c72cacb3ca34cf80ec62fb0a442ba7,187,?,0,1,?,12,1,79,1,?,?,?,?,?,0.548387,31,17,1,14914,?,?,cluster6
1,010d6a7e0da23bea89d895e35500d7ce,180,?,0,0,?,6,1,67,1,0,0,0,0,0,0.330357,112,37,1,12163,1,1,cluster2
2,01241001887d3bda8c4a2a7377b13811,1931,?,0,0,-0.066667,23.666667,3,1,1,?,?,?,?,?,2.49226,323,805,3,3767,?,?,cluster6
3,014eef555cea39858c757db4b4cc75ad,76,1,0,1,?,12,1,0,1,0.081145,0,0.081145,0,0,9.910714,112,1110,1,2,1,1,cluster3
4,0196f3b9f42433a9b200fc64f7b3b32c,798,?,0,2,?,13,1,64,0,?,?,?,?,?,0.017739,31118,552,1,51286,?,?,cluster6
5,01dd78d8d2a734aa8699d00788739d80,609,?,0,1,?,23,1,18,1,0.000712,0,0.000712,0,0,8.751553,322,2818,1,11533,1,1,cluster3
6,021a9dc7e98a38abb52230aef44724e7,529,?,0,2,?,13,1,123,0,?,?,?,?,?,0.006112,6545,40,1,65084,?,?,cluster6
7,027b107b79b43007a9988fe9d66bad7e,11,1,0,1,?,10,1,1,1,0,0,0,0,0,0,0,0,1,13,1,1,cluster3
8,027dc4fa9e4734399f9a0f1e0c122876,11,1,0,1,?,10,1,1,1,0,0,0,0,0,29.333333,3,88,1,14,1,1,cluster3
9,03099ba1efa73e97ac2af5ff35f5302d,1605,?,0,1,?,20,1,2,1,0,0,0,0,0,2.428571,189,459,1,4202,1,1,cluster3
10,039a9d142a0032b99ab6e3929d86681f,12,1,0,1,?,15,1,1,1,0,0,0,0,0,110,1,110,1,17,1,1,cluster3
11,042763a891aa3ec4bd613f5fe34df71c,1722,1,0,1,?,12,1,0,1,0.000268,0,0.000268,0,0,10.769231,52,560,1,116,1,1,cluster3
12,048068d7c87236c4980e3b7e44071228,21,?,0,0,?,7,1,0,1,?,?,?,?,?,0,5,0,1,5,?,?,cluster6
13,04b61596c2fd3f09a2a36c4fd7814fee,466,?,0,1,?,13,1,13,1,?,?,?,?,?,6.7,160,1072,1,6069,?,?,cluster6
14,05725c69da0d367cbbe324d0a506dc6c,179,?,0,2,4273.084615,17.714286,3.5,204,0,0,0,0,0,0,0.3125,128,40,14,36687,12,12,cluster4
15,05f48f7a4f893982a2b4aea2acf0841d,11,?,0,1,?,10,1,9,1,0.001219,0,0.001219,0,0,150.5,2,301,1,101,1,1,cluster3
16,062f59eb02fb3011a8b5764bba26cea4,20,1,0,1,-0.333333,12.5,2,5,1,0.005471,0.001556,0.010941,0,0,0,1,0,2,111,2,2,cluster3
17,06edd3fee65b38148cf63b7e7dab88b3,102,?,0,0,?,27,1,18,0,?,?,?,?,?,1.804721,466,841,1,1889,?,?,cluster6
18,07c28d4eab753fbeb4001343bc79aea5,379,?,0,2,25929.275,14.333333,1.5,3,2.666667,0,0,0,0,0,0.772973,185,143,3,1208,2,2,cluster4
19,07e8f97797113f20a6d3a121d1ad3f38,1103,?,0,0,?,19,1,45,0,?,?,?,?,?,0.786806,1440,1133,1,49666,?,?,cluster6
20,08964b54b7df3b4798ee2629d987f76b,99,?,0,1,55579.9,6,1,129,0,0.000001,0,0.000001,0,0,1.656033,1442,2388,2,12781,1,1,cluster4
21,08b859e81ac830aba26b93ad0d523b3a,200,?,0,0,?,14,1,0,1,?,?,?,?,?,10,1,10,1,18,?,?,cluster6
22,094effb0a991305d8a708b6a0f850295,19,1,0,1,46.8,12.5,2,5,1,0.013375,0.006348,0.02675,1,191,31.1,10,311,2,107,2,2,cluster0
