@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE account_age numeric 
 @ATTRIBUTE author_type numeric 
 @ATTRIBUTE average_hashtags numeric 
 @ATTRIBUTE average_links numeric 
 @ATTRIBUTE average_minutes_between_posts numeric 
 @ATTRIBUTE average_post_lenth numeric 
 @ATTRIBUTE average_posts_per_day_active_days numeric 
 @ATTRIBUTE average_posts_per_day_total numeric 
 @ATTRIBUTE average_user_mentions numeric 
 @ATTRIBUTE boost_score_avg numeric 
 @ATTRIBUTE boost_score_std_dev numeric 
 @ATTRIBUTE boost_score_sum numeric 
 @ATTRIBUTE boosting_timeslots_count numeric 
 @ATTRIBUTE count_authors_sharing_boosted_posts numeric 
 @ATTRIBUTE friends_followers_ratio numeric 
 @ATTRIBUTE number_followers numeric 
 @ATTRIBUTE number_friends numeric 
 @ATTRIBUTE number_of_crawled_posts numeric 
 @ATTRIBUTE number_of_posts numeric 
 @ATTRIBUTE number_pointed_posts numeric 
 @ATTRIBUTE number_pointers numeric 
  @DATA 
 00c72cacb3ca34cf80ec62fb0a442ba7, 187.0, ?, 0.0, 1.0, ?, 12.0, 1.0, 79.0, 1.0, ?, ?, ?, ?, ?, 0.5483870967741935, 31.0, 17.0, 1.0, 14914.0, ?, ? 
 010d6a7e0da23bea89d895e35500d7ce, 180.0, ?, 0.0, 0.0, ?, 6.0, 1.0, 67.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33035714285714285, 112.0, 37.0, 1.0, 12163.0, 1.0, 1.0 
 01241001887d3bda8c4a2a7377b13811, 1931.0, ?, 0.0, 0.0, -0.06666666666666667, 23.666666666666668, 3.0, 1.0, 1.0, ?, ?, ?, ?, ?, 2.4922600619195046, 323.0, 805.0, 3.0, 3767.0, ?, ? 
 014eef555cea39858c757db4b4cc75ad, 76.0, 1.0, 0.0, 1.0, ?, 12.0, 1.0, 0.0, 1.0, 0.08114505472971081, 0.0, 0.08114505472971081, 0.0, 0.0, 9.910714285714286, 112.0, 1110.0, 1.0, 2.0, 1.0, 1.0 
 0196f3b9f42433a9b200fc64f7b3b32c, 798.0, ?, 0.0, 2.0, ?, 13.0, 1.0, 64.0, 0.0, ?, ?, ?, ?, ?, 0.0177389292370975, 31118.0, 552.0, 1.0, 51286.0, ?, ? 
 01dd78d8d2a734aa8699d00788739d80, 609.0, ?, 0.0, 1.0, ?, 23.0, 1.0, 18.0, 1.0, 0.00071233884824591, 0.0, 0.00071233884824591, 0.0, 0.0, 8.751552795031056, 322.0, 2818.0, 1.0, 11533.0, 1.0, 1.0 
 021a9dc7e98a38abb52230aef44724e7, 529.0, ?, 0.0, 2.0, ?, 13.0, 1.0, 123.0, 0.0, ?, ?, ?, ?, ?, 0.006111535523300229, 6545.0, 40.0, 1.0, 65084.0, ?, ? 
 027b107b79b43007a9988fe9d66bad7e, 11.0, 1.0, 0.0, 1.0, ?, 10.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 13.0, 1.0, 1.0 
 027dc4fa9e4734399f9a0f1e0c122876, 11.0, 1.0, 0.0, 1.0, ?, 10.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.333333333333332, 3.0, 88.0, 1.0, 14.0, 1.0, 1.0 
 03099ba1efa73e97ac2af5ff35f5302d, 1605.0, ?, 0.0, 1.0, ?, 20.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4285714285714284, 189.0, 459.0, 1.0, 4202.0, 1.0, 1.0 
