No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
1,4457,7842dd0220fe3d13aca5961a05606519,3504,?,0,1,?,20,1,8,0,0,0,0.088826,21345,1896,1,30706,cluster1
2,9097,fb26ab7d23dd3c3c83a68570fe0e7f42,3404,?,0,1,?,22,1,17,1,0,0,0.199717,18351,3665,1,59022,cluster1
3,5184,8bec25001375305784bb80cfa027cbae,3403,?,0,0,?,15,1,99,1,0,0,0.398807,6201,2473,1,339325,cluster1
4,611,10c94df0782d354f93daa13e8323ef15,3366,?,0,0,?,0,1,3,0,0,0,0.086998,16713,1454,1,12478,cluster1
5,2424,417734ec6ff93e7eb9237f3951a95aa0,3345,?,0,1,?,13,1,21,0,0,0,0.131737,10984,1447,1,71174,cluster1
6,1942,339753ccd91c36119ea6d2c7b58fd281,3282,?,0,2,?,13,1,3,0,0,0,0.009137,83401,762,1,12606,cluster1
7,484,0d451f66a5af36e4b399fd6e944fd91c,3247,?,0,1.266667,4871.507143,17.866667,2.5,19,0,0,0,0,779,0,15,62084,cluster1
8,8474,e9cafc3610be3a5bb6281234a164134f,3127,?,0,2,?,11,1,4,1,0,0,0.640425,10632,6809,1,13104,cluster1
9,7621,d0378e92fcae34ceadd102ef477d946f,3107,?,0,0,?,21,1,27,0,1,0,0.059749,11816,706,1,85201,cluster1
10,4314,748ef76db9be3a049c92ee6899bf98c0,3101,?,0,0,?,16,1,7,1,0,0,0.000837,46578,39,1,23474,cluster1
11,755,1476b9f43e5438fcaedd5267d6520bd1,3078,?,0,2,?,18,1,7,1,0,0,0.007947,22020,175,1,22184,cluster1
12,6740,b7d8fe225e6d3f8eb440078f851b3e75,3076,?,0,1,?,19,1,13,0,0,0,0.145839,17341,2529,1,40477,cluster1
13,5687,9ad3cca7e6ca3a9584d86c1e38ab0a8e,3071,?,0,1,2146.763725,20.142857,3.5,102,0,0,0,1.057359,92086,97368,35,315879,cluster1
14,3385,5c6301eb52a13a1d88ef973c174ee306,3044,?,0,0.166667,3370.68,21.333333,1.5,155,1,0,0,0.833571,132723,110634,6,473883,cluster1
15,8853,f41bd8476cc83692922c27579b079712,3027,?,0,0,?,4,1,14,1,0,0,0.076851,13780,1059,1,45256,cluster1
16,335,0940b98f7a5134278ada3db1b628bbab,3006,?,0,1,?,15,1,29,3,0,0,0.124568,10990,1369,1,89626,cluster1
17,4913,84123f3a94fc3a04bcf9f6c141ec6458,3004,?,0,1,?,13,1,3,1,0,0,0.031393,13315,418,1,9916,cluster1
18,580,0fed6e7ca06e35a5a26be21df0f4b56e,2990,?,0,1,?,15,1,59,0,0,0,0.007828,28872,226,1,177152,cluster1
19,8962,f7076194d9ec30d4a5b132a60e90d8d2,2980,?,0,1,563.604444,14,3.2,25,0,0,0,0.004515,4208,19,16,75310,cluster1
20,8457,e934b2ef79c3314ab7708a8ae83c6b3d,2969,?,0,1,?,21,1,9,1,0,0,0.176883,12415,2196,1,26819,cluster1
21,1359,23dbe290279d342d95d5eb5e87299479,2962,?,0,1,838.216667,16.5,1,6,0.5,0,0,0.495666,21226,10521,2,18647,cluster1
22,5572,972dbc50e40835979adc4bc5a6d108d5,2962,?,0,0,79.933333,14,2,4,0.5,0,0,0.008076,66242,535,2,12720,cluster1
23,5419,9268b011bc733e94aa75bcf879d235f8,2948,?,0,1,?,20,1,11,1,0,0,0.941011,15308,14405,1,34940,cluster1
24,6441,b0779791b93833e3bcc74d14ef825f2f,2927,?,0,1,?,13,1,11,0,0,0,0.144173,16390,2363,1,32502,cluster1
25,1779,2f50e9f6bcbd3c98b168d4379efcdcbe,2919,?,0,1,3840.183333,15.5,1,15,0,0,0,0.07589,14600,1108,2,45624,cluster1
26,8753,f19f1daed5d135c39662b6b1177d865e,2909,?,0,1,136.15,20.5,2,30,0.5,0,0,0.09398,49149,4619,2,90038,cluster1
27,1635,2b8aeafc813631e495e069c21f05d0ed,2901,?,0,0,?,0,1,2,0,0,0,0.018075,22241,402,1,6369,cluster1
28,5317,8fb38b32c92a35f8af47408e22cdec83,2888,?,0,1,?,10,1,30,1,0,0,0.159041,11890,1891,1,88008,cluster1
29,2154,39246e240bf834278bd105c76d49d2e8,2887,?,0,1,?,16,1,18,0,0,0,0.000014,724867,10,1,52258,cluster1
30,2103,37e45a0a09ea3184b3d69c76b15f3a02,2869,?,0,2,?,16,1,8,0,0,0,0.000535,24319,13,1,23330,cluster1
31,305,08376c6cea633721be31136a66b0f576,2852,?,0,1,355.933333,2,3,6,0,0,0,0.376623,77,29,3,17115,cluster1
32,1439,267e77c4e0d83ab2b9bd129db892c8fa,2838,?,0,1,?,19,1,146,1,0,0,0.891319,19939,17772,1,416294,cluster1
33,1982,34cc82af34683c1e97c13ae8a6b4e323,2837,?,0,0.5,4801.816667,21,1.333333,76,1,0,0,0.077681,20288,1576,4,216456,cluster1
34,4321,74c2c50a3ccf3ba6af9828373aaea9a8,2837,?,0,1,?,17,1,184,0,0,0,1.038382,1928,2002,1,523490,cluster1
35,2240,3ba6cf8cdab43fed9777af1a5f253e1f,2809,?,0,1,?,14,1,104,0,0,0,1.138987,4835,5507,1,293831,cluster1
36,1758,2ecae08c4e433791895d260d7bce8aca,2800,?,0,2,?,16,1,10,0,0,0,0.003487,579929,2022,1,28026,cluster1
37,4545,7a9e6207831235428d750f7e45091d03,2790,?,0,1,?,16,1,18,0,0,0,0.872685,7399,6457,1,51095,cluster1
38,3548,6087d63504e432049047084982084ef5,2778,?,0,1,?,17,1,1,0,0,0,1.093815,7696,8418,1,4232,cluster1
