name,domain,author_guid,author_screen_name,author_full_name,author_twitter_id,created_at,statuses_count,followers_count,favourites_count,friends_count,listed_count,language,profile_background_color,profile_background_tile,profile_banner_url,profile_image_url,profile_link_color,profile_sidebar_fill_color,profile_text_color,default_profile,contributors_enabled,default_profile_image,geo_enabled,protected,location,notifications,time_zone,url,utc_offset,verified,is_suspended_or_not_exists,author_type,bad_actors_collector_insertion_date,xml_importer_insertion_date,vico_dump_insertion_date,missing_data_complementor_insertion_date,bad_actors_markup_insertion_date
ShanePro09,Microblog,2c45aa56f97132ccb41e20dac81eb91b,ShanePro09,shane mckenner,1899651614,Tue Sep 24 08:17:45 +0000 2013,2,6,0,1108,0,en,C0DEED,0,,https://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png,0084B4,DDEEF6,333333,1,0,1,0,0,,0,,,,0,0,bad_actor,26/06/2016 09:59,,,22/06/2016 11:32,
curtislankford,Microblog,b4ff6feba572350794f411c146703bb2,curtislankford,Curtis Lankford,1323744870,Wed Apr 03 03:20:14 +0000 2013,2,6,2,1285,0,en,C0DEED,0,,https://pbs.twimg.com/profile_images/3470719827/7091de3142176727cb75e328eeb4465f_normal.jpeg,0084B4,DDEEF6,333333,1,0,0,0,0,,0,None,None,,0,0,bad_actor,26/06/2016 10:34,,,22/06/2016 12:32,
Un4gettablyurs,Microblog,57a6fccef5f23ef7b7bca59bafd56f4c,Un4gettablyurs,Donna Richard,1587730315,Fri Jul 12 05:52:47 +0000 2013,1,21,0,1669,0,en,C0DEED,0,,https://pbs.twimg.com/profile_images/733169859794751489/b36RKqzU_normal.jpg,0084B4,DDEEF6,333333,1,0,0,0,0,,0,None,None,,0,0,bad_actor,26/06/2016 10:26,,,22/06/2016 12:49,
jifran,Microblog,c953362dbe72370e904682c4428304f9,jifran,Jose FRANCISCO,148074912,Tue May 25 19:38:33 +0000 2010,1,6,0,1621,0,es,C0DEED,0,,https://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png,0084B4,DDEEF6,333333,1,0,1,0,0,,0,Santiago,None,-10800,0,0,bad_actor,26/06/2016 10:18,,,22/06/2016 14:35,
niceprintphoot,Microblog,f8bd60b1f4763e268355dc7696a70450,niceprintphoot,Nice Print,3374532623,Mon Jul 13 19:59:04 +0000 2015,1624,29,1427,428,29,en,DBE9ED,0,,https://pbs.twimg.com/profile_images/671910623689596931/ZmZu2fzk_normal.jpg,CC3366,E6F6F9,333333,0,0,0,0,0,Maryland,0,None,https://t.co/ubQSWxjraH,,0,0,bad_actor,23/06/2016 14:17,,,,
robertjplahr,Microblog,6be7d7a96bd43afabf40f041044fea9e,robertjplahr,Robert J.,2252391788,Wed Dec 18 18:42:05 +0000 2013,1141,21,965,141,34,en,9AE4E8,0,https://pbs.twimg.com/profile_banners/2252391788/1459059420,https://pbs.twimg.com/profile_images/713972904128618496/XVjarw4v_normal.jpg,0084B4,DDFFCC,333333,0,0,0,0,0,BFE Ohio,0,Pacific Time (US & Canada),None,-25200,0,0,bad_actor,23/06/2016 14:17,,,,
JeffShepktue,Microblog,9ed99548c1f7301b8594036edf189843,JeffShepktue,Jeff,2253690516,Thu Dec 19 15:36:07 +0000 2013,1184,23,1022,187,19,en,FF6699,1,https://pbs.twimg.com/profile_banners/2253690516/1459478966,https://pbs.twimg.com/profile_images/715732601768697857/rH74Kvm2_normal.jpg,B40B43,E5507E,362720,0,0,0,0,0,Bloomfield Hills Michigan,0,Pacific Time (US & Canada),None,-25200,0,0,bad_actor,23/06/2016 14:17,,,,
jasonuunk,Microblog,4f2b27e71c7d3dc5be04e27e0de283ed,jasonuunk,Jason,3256832144,Fri Jun 26 16:11:06 +0000 2015,1042,24,945,310,33,en,BADFCD,0,https://pbs.twimg.com/profile_banners/3256832144/1449158538,https://pbs.twimg.com/profile_images/672445655760027653/OuqKWY-m_normal.jpg,FF0000,FFF7CC,0C3E53,0,0,0,0,0,North Carolina,0,None,https://t.co/6vCqfpEZCk,,0,0,bad_actor,23/06/2016 14:17,,,,
Digschmalun,Microblog,deae62d483fa3f4794db5924a112ffd4,Digschmalun,Alan,2542291735,Mon Jun 02 22:20:14 +0000 2014,1084,27,955,290,19,en,EDECE9,0,,https://pbs.twimg.com/profile_images/706710433483198464/WHKvpvFz_normal.jpg,88253,E3E2DE,634047,0,0,0,0,0,New Hampshire,0,Pacific Time (US & Canada),None,-25200,0,0,bad_actor,23/06/2016 14:17,,,,
Kaote_Kat,Microblog,23c8989539103fc59992a58f18c209ba,Kaote_Kat,Kayte,3368911634,Fri Aug 28 09:07:39 +0000 2015,1323,39,1159,606,27,en,DBE9ED,0,,https://pbs.twimg.com/profile_images/638046418507202560/9Eq4Yef1_normal.jpg,CC3366,E6F6F9,333333,0,0,0,0,0,Idaho,0,None,None,,0,0,bad_actor,23/06/2016 14:17,,,,
