No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
1,1,000a580ceb6c312ead2792bff08e51df,2284,?,0,0,?,10,1,2,1,0,0,3.168831,77,244,1,4947,cluster0
2,2,00101f62ae2430778c4b047252e4925f,2677,?,0,0,?,9,1,0,1,0,0,0.660057,706,466,1,804,cluster0
3,5,0025f741f9c33638a5add046c2b43fc4,1867,?,0,0,?,10,1,6,1,1,0,6.945596,386,2681,1,13065,cluster0
4,7,002d5955503b3c48946254dfe38e91d8,2599,?,0,0,?,20,1,0,0,0,0,0.24728,1011,250,1,2235,cluster0
5,9,004d9fcfde443b79a1b87065e281d049,782,?,0,0,?,10,1,3,1,0,0,6.098765,243,1482,1,2937,cluster0
6,13,0075ac8d435635e0a68ade514c2d5798,1766,?,0,0,?,10,1,7,1,1,0,5.553672,177,983,1,13364,cluster0
7,15,00832bbbc036397a80c11d2fb75c27ac,2692,?,0,1,?,22,1,0,1,0,0,1.951807,83,162,1,2265,cluster0
8,16,0094c828a39a3b3989d4f50058d49aab,1336,?,0,0,?,21,1,10,0,0,0,0.9,560,504,1,13878,cluster0
9,17,009b3aeda23832428683287958b2369b,1455,?,0,0,?,20,1,58,0,0,0,0.362041,627,227,1,84503,cluster0
10,18,009ecb5306c93b66a0157efd70a10948,2592,?,0,0,?,0,1,1,0,1,0,4.375,248,1085,1,3815,cluster0
11,21,00c72cacb3ca34cf80ec62fb0a442ba7,191,?,0,1,?,12,1,78,1,1,1,0.548387,31,17,1,14914,cluster0
12,25,00d195dcdc09357c8fcbf1942f8c8f02,2577,?,0,1,?,18,1,15,0,0,0,0.215239,2323,500,1,38770,cluster0
13,26,00d3a918816d309aac542bc79371c1ed,1624,?,0,0,?,25,1,1,1,1,0,2.640449,89,235,1,2259,cluster0
14,30,00e34a4198e43ae9bb43914e764036f2,15,?,0,2,?,17,1,74,0,1,0,2.03125,32,65,1,1114,cluster0
15,33,00f0da9d84023a89b827b26f6e7b7e3b,1381,?,0,0,?,10,1,6,1,0,0,3.888357,627,2438,1,9057,cluster0
16,34,00f2c0eeda403b258587f56752b95897,2477,?,0,0,?,8,1,3,0,0,0,1.260204,196,247,1,9657,cluster0
17,36,010d6a7e0da23bea89d895e35500d7ce,184,?,0,0,?,6,1,66,1,1,0,0.330357,112,37,1,12163,cluster0
18,37,01138ceb65ab398b95f6b56023fe8c00,2705,?,0,0,?,22,1,1,1,0,0,0.421088,4448,1873,1,5069,cluster0
19,40,0129f703e4ed3638abb4b3f15c2f7e36,2368,?,0,0,?,10,1,3,1,1,1,11.799065,214,2525,1,9183,cluster0
20,44,012f9dcfb30d39ff856d77dceac45b8d,1688,?,0,1,?,20,1,22,1,1,0,0.626524,1312,822,1,37789,cluster0
